# zone|msi|covered_msi|total|status|evidence|reason  (generated by build/gen_zone_tables.py)
d-validation|85.14|89.03|572|DEBT|docs/mutation/evidence/infection-summary-d-validation.json|measured MSI 85.14 below the 95 target
d-resource|89.34|90.04|516|DEBT|docs/mutation/evidence/infection-summary-d-resource.json|measured MSI 89.34 below the 95 target
d-obs-job|91.59|93.09|618|DEBT|docs/mutation/evidence/infection-summary-d-obs-job.json|measured MSI 91.59 below the 95 target
d-container-config|89.46|93.73|351|DEBT|docs/mutation/evidence/infection-summary-d-container-config.json|measured MSI 89.46 below the 95 target
d-misc|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-container-core|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-container-2|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-job|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-cqrs|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-cache-res|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-msg-evt-sec|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
infra-a|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-http-a|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-http-b|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-http-c2|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-kernel-app|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-kernel-dispatch|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-kernel-mid|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-router|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
ad-runtime-sec|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
infra-obs|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
infra-sec-fnd|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
middleware|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-obs-a|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-obs-b|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
app-obs-c|-|-|-|UNKNOWN|build/zone-campaign-results.json (not yet measured)|no per-zone measurement yet in this campaign; see docs/mutation/README.md
