# zone|msi|covered_msi|total|status|evidence|reason  (generated by build/gen_zone_tables.py)
d-validation|85.14|89.03|572|DEBT|docs/mutation/evidence/infection-summary-d-validation.json|measured MSI 85.14 below the 95 target
d-resource|89.34|90.04|516|DEBT|docs/mutation/evidence/infection-summary-d-resource.json|measured MSI 89.34 below the 95 target
d-obs-job|91.59|93.09|618|DEBT|docs/mutation/evidence/infection-summary-d-obs-job.json|measured MSI 91.59 below the 95 target
d-container-config|91.41|93.26|908|DEBT|docs/mutation/evidence/infection-summary-d-container-config.json|measured MSI 91.41 below the 95 target (v2.21.1 re-measure)
d-misc|94.44|96.18|666|DEBT|docs/mutation/evidence/infection-summary-d-misc.json|measured MSI 94.44 below the 95 target
app-container-core|97.39|99.33|306|OK|docs/mutation/evidence/infection-summary-app-container-core.json|
app-container-2|96.97|100.00|165|OK|docs/mutation/evidence/infection-summary-app-container-2.json|re-measurement measured 96.36, weaker than the committed 96.97; the stricter committed evidence is kept
app-job|89.26|91.91|242|DEBT|docs/mutation/evidence/infection-summary-app-job.json|measured MSI 89.26 below the 95 target; re-measurement measured 88.02, weaker than the committed 89.26; the stricter committed evidence is kept
app-cqrs|88.03|88.79|117|DEBT|docs/mutation/evidence/infection-summary-app-cqrs.json|measured MSI 88.03 below the 95 target; re-measurement measured 87.18, weaker than the committed 88.03; the stricter committed evidence is kept
app-cache-res|100.00|100.00|90|OK|docs/mutation/evidence/infection-summary-app-cache-res.json|
app-msg-evt-sec|91.20|94.87|466|DEBT|docs/mutation/evidence/infection-summary-app-msg-evt-sec.json|measured MSI 91.20 below the 95 target
infra-a|92.67|95.84|423|DEBT|docs/mutation/evidence/infection-summary-infra-a.json|measured MSI 92.67 below the 95 target (v2.21.1 re-measure)
ad-http-a|93.37|94.94|784|DEBT|docs/mutation/evidence/infection-summary-ad-http-a.json|measured MSI 93.37 below the 95 target
ad-http-b|91.09|94.52|303|DEBT|docs/mutation/evidence/infection-summary-ad-http-b.json|measured MSI 91.09 below the 95 target
ad-http-c2|93.99|98.29|366|DEBT|docs/mutation/evidence/infection-summary-ad-http-c2.json|measured MSI 93.99 below the 95 target
ad-kernel-app|98.26|100.00|172|OK|docs/mutation/evidence/infection-summary-ad-kernel-app.json|re-measured with a reachable Redis test server (port 6399, auth); the earlier total=0 record was a silent Infection abort, not a measurement
ad-kernel-dispatch|75.81|75.81|62|DEBT|docs/mutation/evidence/infection-summary-ad-kernel-dispatch.json|measured MSI 75.81 below the 95 target
ad-kernel-mid|69.01|73.29|171|DEBT|docs/mutation/evidence/infection-summary-ad-kernel-mid.json|measured MSI 69.01 below the 95 target
ad-router|85.38|87.23|472|DEBT|docs/mutation/evidence/infection-summary-ad-router.json|measured MSI 85.38 below the 95 target
ad-runtime-sec|78.76|82.26|518|DEBT|docs/mutation/evidence/infection-summary-ad-runtime-sec.json|measured MSI 78.76 below the 95 target
infra-obs|94.12|94.49|255|DEBT|docs/mutation/evidence/infection-summary-infra-obs.json|measured MSI 94.12 below the 95 target
infra-sec-fnd|87.94|91.16|340|DEBT|docs/mutation/evidence/infection-summary-infra-sec-fnd.json|measured MSI 87.94 below the 95 target
middleware|56.22|61.75|201|DEBT|docs/mutation/evidence/infection-summary-middleware.json|measured MSI 56.22 below the 95 target
app-obs-a|82.58|87.50|356|DEBT|docs/mutation/evidence/infection-summary-app-obs-a.json|measured MSI 82.58 below the 95 target
app-obs-b|96.05|96.05|177|OK|docs/mutation/evidence/infection-summary-app-obs-b.json|
app-obs-c|76.56|77.17|128|DEBT|docs/mutation/evidence/infection-summary-app-obs-c.json|measured MSI 76.56 below the 95 target
app-db-tx|95.92|95.92|49|OK|docs/mutation/evidence/infection-summary-app-db-tx.json|
es-hardening|97.18|97.36|532|OK|docs/mutation/evidence/infection-summary-es-hardening.json|
app-rate-limit|95.42|95.42|393|OK|docs/mutation/evidence/infection-summary-app-rate-limit.json|re-measured after addressing review threads: trailing-slash normalisation, resolver-in-policy-envelope and named JSON depth constant added net mutants; the 2 not-covered entries are unreachable defensive withHeader type guards
app-runtime-async|96.41|96.91|390|OK|docs/mutation/evidence/infection-summary-app-runtime-async.json|12 escaped entries are documented equivalents: close() idempotence, splice fall-through and array_values gap reindex (channel), await-on-done removal and suspend(0) timer-path (behaviourally identical), redundant markObserved and disarm calls, float-exact nanosecond products for round/floor/ceil, onSettle immediate-branch, waitgroup deliver-all making splice unobservable, semaphore unregister timing; 2 not-covered defensive lines (unreachable suspension-payload and coroutine-context guards)
app-runtime-async|96.41|96.91|390|OK|docs/mutation/evidence/infection-summary-app-runtime-async.json|12 escaped entries are documented equivalents: close() idempotence, splice fall-through and array_values gap reindex (channel), await-on-done removal and suspend(0) timer-path (behaviourally identical), redundant markObserved and disarm calls, float-exact nanosecond products for round/floor/ceil, onSettle immediate-branch, waitgroup deliver-all making splice unobservable, semaphore unregister timing; 2 not-covered defensive lines (unreachable suspension-payload and coroutine-context guards)
app-rules|96.40|98.17|111|OK|docs/mutation/evidence/infection-summary-app-rules.json|2 escaped entries are documented equivalents: the twin catch arms of the await loop are identical on every reachable path because recorded verdicts are never clobbered (??= preservation), and array_values after ksort only enforces the list type (v2.26 channel precedent); 2 not-covered defensive lines (unreachable run() report guard and inner-verdict guard)
